address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
181 Ofarrell St Ste 305,San Francisco,CA,94102,999000,1334,1,2.0,17,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785263_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
601 Van Ness Ave Apt 248,San Francisco,CA,94102,459000,450,0,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077772_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
720 Gough St Apt 41,San Francisco,CA,94102,850000,1522,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078024_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
785 Golden Gate Ave Apt 303,San Francisco,CA,94102,549000,658,0,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078011_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
612 Fell St # 614,San Francisco,CA,94102,1149000,1805,3,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095082540_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
612 Fell St # 616,San Francisco,CA,94102,1249000,1995,3,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095082561_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
8 Buchanan St Unit 311,San Francisco,CA,94102,799000,698,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/124397692_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
601 Van Ness Ave Apt 242,San Francisco,CA,94102,599000,682,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077766_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
450 Hayes St Unit 2F,San Francisco,CA,94102,1049000,730,1,1.0,NA,NA,"http://www.zillow.com/homes/for_sale/2095017977_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
612 Fell St,San Francisco,CA,94102,3393000,5574,0,NA,NA,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095081964_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
601 Van Ness Ave Apt 8,San Francisco,CA,94102,895000,1096,2,2.0,19,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077615_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,1640000,2048,NA,2.0,48,Foreclosure,"http://www.zillow.com/homes/for_sale/116587611_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,NA,562,1,1.0,53,Foreclosure,"http://www.zillow.com/homes/for_sale/128800116_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,NA,3567,NA,3.0,57,Foreclosure,"http://www.zillow.com/homes/for_sale/127115971_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
441 MASON ST # 947,SAN FRANCISCO,CA,94102,NA,NA,NA,NA,2864,NA,"http://www.zillow.com/homes/for_sale/95270375_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
441 MASON ST # 701,SAN FRANCISCO,CA,94102,NA,NA,NA,NA,5502,NA,"http://www.zillow.com/homes/for_sale/96045227_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
601 Van Ness Ave Apt 629,San Francisco,CA,94102,650000,706,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077721_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
8 Buchanan St Unit 212,San Francisco,CA,94102,899000,876,2,1.0,36,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095314958_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
368 Elm St Apt 202,San Francisco,CA,94102,675000,679,1,1.0,224,Condo For Sale,"http://www.zillow.com/homes/for_sale/79842266_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
8 Buchanan St Unit 8,San Francisco,CA,94102,799000,698,1,1.0,46,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095424954_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
8 Buchanan St Unit 601,San Francisco,CA,94102,1029000,NA,2,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/124397614_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
8 Buchanan St Unit 806,San Francisco,CA,94102,1099000,884,1,1.0,56,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095573100_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
438 Buchanan St,San Francisco,CA,94102,2200000,2205,3,2.5,694,Foreclosure,"http://www.zillow.com/homes/for_sale/119685678_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
338 Potrero Ave # QM6VMC,San Francisco,CA,94103,772000,673,1,1.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096566274_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1160 Mission St Unit 2213,San Francisco,CA,94103,2495000,NA,3,2.0,3,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785941_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
338 Potrero Ave # PSJ7L2,San Francisco,CA,94103,1107000,845,2,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2095614591_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6 Mint Plz # 7UVRVS,San Francisco,CA,94103,4795000,3390,3,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096314152_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
374 Guerrero St Apt 1,San Francisco,CA,94103,1049000,1175,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15143250_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1283 Howard St Unit 1285,San Francisco,CA,94103,1195000,1482,3,2.0,NA,House For Sale,"http://www.zillow.com/homes/for_sale/2094931478_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1875 Mission St Apt 211,San Francisco,CA,94103,825000,NA,1,1.0,4,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094935033_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
132A Langton St,San Francisco,CA,94103,799000,920,2,2.0,27,Condo For Sale,"http://www.zillow.com/homes/for_sale/15147989_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
39 Boardman Pl Apt 103,San Francisco,CA,94103,879000,1121,1,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148758_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1875 Mission St Apt 402,San Francisco,CA,94103,834900,900,2,1.0,19,Condo For Sale,"http://www.zillow.com/homes/for_sale/2100860163_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
